1754,1500,1000
1754,1500,1500
1757,1498,1500
1759,1496,1500
1761,1494,1500
1763,1492,1500
1765,1490,1500
1767,1488,1500
1770,1486,1500
1769,1481,1500
1769,1477,1500
1768,1472,1500
1767,1468,1500
1765,1463,1500
1763,1459,1500
1760,1452,1500
1756,1445,1500
1752,1438,1500
1747,1432,1500
1742,1425,1500
1737,1418,1500
1731,1411,1500
1725,1404,1500
1719,1397,1500
1713,1391,1500
1707,1384,1500
1700,1377,1500
1693,1370,1500
1686,1363,1500
1679,1357,1500
1672,1350,1500
1665,1344,1500
1658,1337,1500
1651,1331,1500
1643,1324,1500
1636,1318,1500
1628,1312,1500
1621,1307,1500
1613,1301,1500
1606,1296,1500
1598,1290,1500
1590,1286,1500
1582,1281,1500
1577,1279,1500
1572,1276,1500
1567,1274,1500
1561,1272,1500
1555,1271,1500
1550,1269,1500
1547,1270,1500
1544,1271,1500
1541,1273,1500
1538,1274,1500
1536,1275,1500
1533,1276,1500
1530,1278,1500
1527,1279,1500
1527,1279,1500
1527,1279,1500
1527,1283,1500
1527,1287,1500
1527,1291,1500
1527,1295,1500
1527,1299,1500
1527,1303,1500
1526,1307,1500
1526,1311,1500
1528,1317,1500
1530,1323,1500
1532,1328,1500
1534,1333,1500
1536,1338,1500
1538,1343,1500
1542,1350,1500
1546,1357,1500
1550,1363,1500
1553,1369,1500
1557,1375,1500
1561,1381,1500
1566,1387,1500
1570,1392,1500
1574,1398,1500
1579,1403,1500
1583,1408,1500
1588,1413,1500
1592,1418,1500
1597,1423,1500
1602,1428,1500
1607,1432,1500
1612,1437,1500
1617,1442,1500
1623,1446,1500
1628,1451,1500
1634,1455,1500
1640,1459,1500
1646,1463,1500
1652,1468,1500
1658,1472,1500
1665,1476,1500
1672,1480,1500
1679,1484,1500
1685,1486,1500
1690,1489,1500
1695,1492,1500
1702,1494,1500
1708,1496,1500
1715,1499,1500
1719,1499,1500
1724,1499,1500
1729,1500,1500
1733,1500,1500
1738,1501,1500
1743,1501,1500
1747,1502,1500
1747,1502,1000
